customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
1,60,Maine,family premium,annual,0,credit,none,6/22/2013,8.231108863,0.880944185,0.1,148,93,8,74,8,4,0,0
2,69,California,basic,monthly,1,credit,few,5/29/2018,13.10919124,2.580869817,0.6,158,80,4,54,12,3,54,0
3,36,Nebrasksa,premium,annual,1,debit,none,12/9/2016,19.61779759,0.935676333,0.21,319,188,5,89,11,3,156,0
4,73,Montana,premium,monthly,0,debit,none,8/30/2017,26.02378266,0.878620035,0.15,375,354,6,45,8,4,149,0
5,58,Virginia,family premium,annual,0,credit,very frequent,8/9/2013,17.87603908,0.496145416,0.01,239,124,8,69,12,6,0,0
6,79,Washington,premium,annual,1,credit,some,9/19/2020,27.83924593,2.677001115,0.67,380,333,8,24,14,4,60,0
7,20,Idaho,basic,annual,2,credit,few,7/14/2019,16.03764278,1.070758109,0.44,257,161,4,78,6,2,154,0
8,78,Florida,family premium,annual,0,debit,many,6/14/2018,15.75106177,0.733792964,0.31,238,238,5,30,10,3,1,0
9,23,Nebrasksa,student,annual,0,venmo,many,1/6/2017,12.55063099,1.424821866,0.17,152,82,5,93,14,7,73,0
10,51,California,family premium,annual,2,credit,few,9/8/2013,16.95680734,1.987926393,0.24,262,251,4,73,13,13,2,0
11,74,Georgia,basic,annual,2,credit,none,9/14/2017,19.93305045,0.574139096,0.32,264,223,4,48,9,2,215,0
12,21,West Virginia,premium,annual,0,debit,many,7/28/2016,20.99549625,1.29766407,0.21,372,326,9,82,20,7,66,0
13,62,Florida,basic,monthly,1,credit,many,6/20/2017,19.18902266,1.06573313,0.38,342,238,5,45,8,3,107,0
14,22,Florida,premium,annual,2,credit,none,6/19/2018,8.435353888,1.338911246,0.26,159,114,6,85,11,3,70,0
15,22,Idaho,family premium,annual,1,credit,very frequent,8/21/2013,25.84717052,3.93299926,0.68,311,248,5,100,6,2,0,0
16,58,Virginia,family premium,monthly,2,debit,some,9/20/2018,4.08706075,0.803744986,0.65,74,40,5,44,12,6,0,0
17,59,North Dakota,basic,monthly,1,credit,few,8/18/2021,4.060660945,0.274352914,0.32,55,39,5,57,15,15,20,0
18,53,New Jersey,family premium,monthly,0,credit,none,7/16/2016,21.51422262,2.9567522,0.42,331,196,9,55,13,4,2,1
19,64,Florida,premium,monthly,0,credit,none,1/3/2014,22.06845448,0.150251723,0.46,292,154,9,45,10,3,133,0
20,69,Florida,basic,monthly,1,venmo,few,2/6/2016,29.98880326,0.879575637,0.93,567,299,9,47,8,8,57,1
21,81,Washington,family premium,monthly,0,credit,some,6/10/2018,12.45895452,1.525827271,0.11,222,176,5,26,13,7,1,0
22,51,Idaho,basic,annual,0,credit,some,9/25/2021,25.19648167,3.60424315,0.87,427,398,6,57,6,2,17,0
23,35,Vermont,student,monthly,2,credit,very frequent,7/1/2018,28.10010048,2.169285106,0.02,480,263,7,81,11,3,69,0
24,21,South Carolina,student,annual,0,venmo,some,10/12/2014,1.935372936,0.921190033,0.55,29,18,5,100,19,10,76,0
25,41,Vermont,family premium,monthly,1,credit,few,4/19/2021,20.30405035,0.827349397,0.86,340,216,5,71,11,3,2,0
26,23,Georgia,student,monthly,1,credit,none,8/24/2014,3.771277554,0.933805059,0.31,46,26,5,105,10,3,158,1
27,37,Wisconsin,family premium,annual,1,credit,none,9/12/2020,10.77995032,1.114842233,0.36,182,146,7,79,14,5,0,0
28,85,Washington,family premium,annual,1,credit,very frequent,9/17/2015,2.113601285,0.628842125,0.92,29,15,4,36,14,14,0,0
29,79,Wisconsin,premium,annual,2,debit,none,7/28/2015,23.19489005,3.117348537,0.26,429,305,7,43,12,3,90,0
30,39,Maine,student,annual,1,credit,few,4/25/2014,2.458314106,0.326645523,0.14,31,17,4,84,8,4,97,0
31,63,Washington,family premium,annual,0,credit,many,2/20/2019,21.7109942,0.692302858,0.8,263,184,6,61,12,12,2,0
32,79,California,basic,monthly,2,debit,few,3/30/2020,16.6077927,1.753200776,0.36,304,170,7,34,13,7,40,0
33,75,Nebrasksa,basic,annual,1,credit,few,5/17/2017,19.69570222,0.834784777,0.16,337,241,5,47,14,4,96,0
34,64,Maine,family premium,annual,0,credit,none,11/25/2017,24.5221188,4.045524738,0.1,483,259,9,61,8,3,0,0
35,68,Alabama,basic,annual,1,debit,few,1/1/2022,0.912639739,0.753188536,0.75,13,7,2,27,8,3,19,1
36,25,New York,student,annual,1,debit,very frequent,1/3/2014,29.08238068,0.435109937,0.58,353,254,8,89,9,5,196,0
37,61,Wisconsin,basic,annual,0,credit,some,5/22/2013,8.892087101,0.138669623,0.06,122,79,7,62,12,4,146,0
38,32,Florida,premium,annual,1,venmo,very frequent,3/8/2013,3.453753037,1.395644999,0.22,47,27,3,99,10,3,103,0
39,28,Maine,student,annual,2,venmo,none,12/16/2021,14.85290125,1.36289113,0.4,202,185,6,83,7,2,20,0
40,74,South Carolina,basic,annual,1,credit,some,2/2/2015,11.92460617,1.440820373,0.05,178,159,4,48,19,6,90,0
41,36,North Carolina,family premium,annual,0,credit,some,4/19/2021,3.501849695,0.383917883,0.23,53,32,4,83,21,7,1,0
42,68,Nebrasksa,basic,annual,1,credit,few,4/6/2017,22.06762243,3.770983359,0.27,267,250,8,38,13,7,110,0
43,71,Washington,family premium,annual,2,credit,none,12/2/2017,10.27166585,0.869171201,0.28,140,114,6,50,13,13,1,0
44,61,New Jersey,basic,annual,0,credit,none,4/19/2013,13.81987406,1.960384442,0.22,264,182,9,53,12,12,110,0
45,34,North Carolina,premium,monthly,0,credit,many,8/8/2015,26.07573773,2.485565973,0.51,516,322,10,93,20,20,314,0
46,38,New Jersey,basic,annual,1,debit,few,12/4/2021,4.611043572,1.013791788,0.51,91,54,6,66,13,3,36,0
47,64,Idaho,premium,monthly,2,debit,very frequent,8/27/2021,18.45519233,2.119401256,0.52,338,309,4,40,6,2,44,0
48,45,Wisconsin,basic,annual,2,debit,few,4/11/2016,12.98244404,1.005253273,0.94,186,145,3,75,13,13,100,0
49,64,Idaho,family premium,annual,1,debit,many,7/4/2020,23.07324071,3.217695954,0.66,332,211,8,40,5,5,2,0
50,56,Georgia,family premium,annual,2,credit,few,8/16/2013,2.234223246,0.252671628,0.38,34,30,4,68,9,5,0,0
51,69,Washington,basic,annual,2,debit,some,9/24/2019,16.87199936,2.585778108,0.23,268,267,4,38,14,7,39,0
52,28,North Dakota,family premium,annual,1,debit,very frequent,9/29/2013,23.51411238,2.267069642,0.54,461,276,8,104,15,5,1,1
53,80,West Virginia,family premium,annual,1,credit,few,10/10/2017,2.848606068,0.758078192,0.77,46,24,5,45,20,5,2,0
54,57,South Carolina,premium,annual,2,credit,many,9/26/2017,12.41830657,0.473971884,0.34,243,191,3,55,20,7,67,0
55,83,New Jersey,family premium,annual,0,credit,many,7/7/2019,9.330298862,1.255800938,0.47,124,93,7,26,14,7,2,0
56,67,Idaho,family premium,annual,0,debit,some,2/3/2015,9.613540541,1.93480872,0.34,156,111,8,43,5,5,2,0
57,42,South Carolina,premium,annual,2,credit,none,3/28/2016,20.83222915,1.692832961,0.49,288,162,4,84,21,5,145,0
58,74,South Carolina,family premium,annual,1,credit,some,7/14/2021,30.20915029,2.004548853,0.37,457,317,8,38,18,6,2,0
59,29,South Carolina,premium,annual,1,credit,some,2/16/2017,15.06713131,0.025914922,0.02,229,138,4,74,20,7,52,0
60,33,Utah,basic,annual,1,venmo,none,1/21/2021,2.608887034,0.720319852,0.22,37,22,3,79,5,2,30,0
61,79,Utah,family premium,monthly,0,credit,some,8/12/2017,3.442572594,1.000898625,0.47,54,33,6,25,5,2,0,0
62,69,West Virginia,basic,annual,2,venmo,very frequent,10/17/2014,6.354477302,0.415963665,0.38,101,85,3,61,18,6,64,0
63,46,North Carolina,family premium,annual,2,debit,few,5/12/2016,0.429358703,1.042541729,0.34,9,6,2,80,19,10,0,0
64,35,Vermont,basic,annual,2,credit,many,2/29/2016,22.0363988,3.322655984,0.52,402,393,4,83,11,3,89,0
